destino_nombre,parada_cercana,tipo_transporte_codigo,distancia_parada_km,costo_traslado_local_q,tiempo_traslado_minutos
San Juan La Laguna,Estación Central de Taxi local cerca de San Juan La Laguna - Ref 858,TAXI,8.02,40.82,29
Chichicastenango,Estación Central de Tuc-tuc cerca de Chichicastenango - Ref 859,TUC_TUC,4.1,22.94,13
Iximché,Estación Central de Autobús extraurbano cerca de Iximché - Ref 860,EXTRAURBANO,11.24,34.0,51
Parque Arqueológico Quiriguá,Estación Central de Lancha colectiva cerca de Parque Arqueológico Quiriguá - Ref 861,LANCHA,6.98,22.88,23
Río Dulce,Estación Central de Microbús / Fletero cerca de Río Dulce - Ref 862,FLETERO,7.06,28.48,32
Castillo de San Felipe de Lara,Estación Central de Shuttle turístico cerca de Castillo de San Felipe de Lara - Ref 863,SHUTTLE,2.69,29.64,12
Livingston,Estación Central de Taxi local cerca de Livingston - Ref 864,TAXI,7.09,43.81,27
Semuc Champey,Estación Central de Tuc-tuc cerca de Semuc Champey - Ref 865,TUC_TUC,11.02,5.19,34
Cuevas de Candelaria,Estación Central de Autobús extraurbano cerca de Cuevas de Candelaria - Ref 866,EXTRAURBANO,13.32,14.99,65
Biotopo del Quetzal Mario Dary Rivera,Estación Central de Lancha colectiva cerca de Biotopo del Quetzal Mario Dary Rivera - Ref 867,LANCHA,11.25,10.84,42
Cobán,Estación Central de Microbús / Fletero cerca de Cobán - Ref 868,FLETERO,13.64,37.54,36
Esquipulas,Estación Central de Shuttle turístico cerca de Esquipulas - Ref 869,SHUTTLE,12.75,24.6,41
Basílica del Cristo Negro de Esquipulas,Estación Central de Taxi local cerca de Basílica del Cristo Negro de Esquipulas - Ref 870,TAXI,11.57,14.16,48
Volcán de Pacaya,Estación Central de Tuc-tuc cerca de Volcán de Pacaya - Ref 871,TUC_TUC,12.19,27.8,39
Monterrico,Estación Central de Autobús extraurbano cerca de Monterrico - Ref 872,EXTRAURBANO,1.22,19.34,4
Parque Nacional Sipacate-Naranjo,Estación Central de Lancha colectiva cerca de Parque Nacional Sipacate-Naranjo - Ref 873,LANCHA,10.64,23.78,52
Parque Arqueológico Nacional Tak’alik Ab’aj,Estación Central de Microbús / Fletero cerca de Parque Arqueológico Nacional Tak’alik Ab’aj - Ref 874,FLETERO,10.79,41.02,40
Parques Xetulul y Xocomil,Estación Central de Shuttle turístico cerca de Parques Xetulul y Xocomil - Ref 875,SHUTTLE,4.11,6.93,15
Puerto San José,Estación Central de Taxi local cerca de Puerto San José - Ref 876,TAXI,6.0,38.75,29
Playa Tilapa,Estación Central de Tuc-tuc cerca de Playa Tilapa - Ref 877,TUC_TUC,3.49,17.35,9
Fuentes Georginas,Estación Central de Autobús extraurbano cerca de Fuentes Georginas - Ref 878,EXTRAURBANO,8.23,13.62,35
Centro Histórico de Quetzaltenango,Estación Central de Lancha colectiva cerca de Centro Histórico de Quetzaltenango - Ref 879,LANCHA,6.48,35.99,18
Volcán Tajumulco,Estación Central de Microbús / Fletero cerca de Volcán Tajumulco - Ref 880,FLETERO,13.1,5.14,45
Laguna Brava,Estación Central de Shuttle turístico cerca de Laguna Brava - Ref 881,SHUTTLE,13.72,42.95,47
Cenotes de Candelaria,Estación Central de Taxi local cerca de Cenotes de Candelaria - Ref 882,TAXI,3.84,38.74,14
Todos Santos Cuchumatán,Estación Central de Tuc-tuc cerca de Todos Santos Cuchumatán - Ref 883,TUC_TUC,7.88,46.89,36
Nebaj,Estación Central de Autobús extraurbano cerca de Nebaj - Ref 884,EXTRAURBANO,11.84,39.3,53
Museo Nacional de Arqueología y Etnología,Estación Central de Lancha colectiva cerca de Museo Nacional de Arqueología y Etnología - Ref 885,LANCHA,12.04,9.93,56
Kaminaljuyú,Estación Central de Microbús / Fletero cerca de Kaminaljuyú - Ref 886,FLETERO,7.75,18.8,29
Zoológico La Aurora,Estación Central de Shuttle turístico cerca de Zoológico La Aurora - Ref 887,SHUTTLE,1.29,25.2,4
Centro Histórico de la Ciudad de Guatemala,Estación Central de Taxi local cerca de Centro Histórico de la Ciudad de Guatemala - Ref 888,TAXI,14.99,19.97,52
Mixco Viejo,Estación Central de Tuc-tuc cerca de Mixco Viejo - Ref 889,TUC_TUC,2.23,26.1,8
Volcán Acatenango,Estación Central de Autobús extraurbano cerca de Volcán Acatenango - Ref 890,EXTRAURBANO,6.34,20.91,22
Volcán de Agua,Estación Central de Lancha colectiva cerca de Volcán de Agua - Ref 891,LANCHA,5.4,37.14,20
Hobbitenango,Estación Central de Microbús / Fletero cerca de Hobbitenango - Ref 892,FLETERO,7.7,11.79,24
Museo Miraflores,Estación Central de Shuttle turístico cerca de Museo Miraflores - Ref 893,SHUTTLE,9.21,49.61,42
Reserva de Biosfera Sierra de las Minas,Estación Central de Taxi local cerca de Reserva de Biosfera Sierra de las Minas - Ref 894,TAXI,12.21,12.41,33
Museo de Paleontología y Arqueología de Estanzuela,Estación Central de Tuc-tuc cerca de Museo de Paleontología y Arqueología de Estanzuela - Ref 895,TUC_TUC,7.98,33.18,31
Volcán y Laguna de Ipala,Estación Central de Autobús extraurbano cerca de Volcán y Laguna de Ipala - Ref 896,EXTRAURBANO,10.71,8.4,45
Lago de Güija,Estación Central de Lancha colectiva cerca de Lago de Güija - Ref 897,LANCHA,1.51,11.16,4
Volcán Suchitán,Estación Central de Microbús / Fletero cerca de Volcán Suchitán - Ref 898,FLETERO,13.79,38.9,55
Playa Blanca,Estación Central de Shuttle turístico cerca de Playa Blanca - Ref 899,SHUTTLE,14.13,39.31,49
Laguna Lachuá,Estación Central de Taxi local cerca de Laguna Lachuá - Ref 900,TAXI,13.54,22.23,43
Antigua Guatemala,Estación Central de Tuc-tuc cerca de Antigua Guatemala - Ref 901,TUC_TUC,11.04,17.45,50
Parque Nacional Tikal,Estación Central de Autobús extraurbano cerca de Parque Nacional Tikal - Ref 902,EXTRAURBANO,4.45,48.32,11
Parque Nacional Yaxhá-Nakum-Naranjo,Estación Central de Lancha colectiva cerca de Parque Nacional Yaxhá-Nakum-Naranjo - Ref 903,LANCHA,12.99,44.55,47
Sitio arqueológico El Mirador,Estación Central de Microbús / Fletero cerca de Sitio arqueológico El Mirador - Ref 904,FLETERO,12.02,12.88,35
Uaxactún,Estación Central de Shuttle turístico cerca de Uaxactún - Ref 905,SHUTTLE,9.81,6.41,31
Lago de Atitlán,Estación Central de Taxi local cerca de Lago de Atitlán - Ref 906,TAXI,6.52,13.19,31
Panajachel,Estación Central de Tuc-tuc cerca de Panajachel - Ref 907,TUC_TUC,6.0,10.0,15
San Juan La Laguna,Estación Central de Autobús extraurbano cerca de San Juan La Laguna - Ref 908,EXTRAURBANO,6.94,20.74,25
Chichicastenango,Estación Central de Lancha colectiva cerca de Chichicastenango - Ref 909,LANCHA,14.44,39.0,41
Iximché,Estación Central de Microbús / Fletero cerca de Iximché - Ref 910,FLETERO,14.87,37.2,56
Parque Arqueológico Quiriguá,Estación Central de Shuttle turístico cerca de Parque Arqueológico Quiriguá - Ref 911,SHUTTLE,9.64,20.86,27
Río Dulce,Estación Central de Taxi local cerca de Río Dulce - Ref 912,TAXI,11.22,21.25,47
Castillo de San Felipe de Lara,Estación Central de Tuc-tuc cerca de Castillo de San Felipe de Lara - Ref 913,TUC_TUC,0.64,36.87,2
Livingston,Estación Central de Autobús extraurbano cerca de Livingston - Ref 914,EXTRAURBANO,1.25,28.26,3
Semuc Champey,Estación Central de Lancha colectiva cerca de Semuc Champey - Ref 915,LANCHA,6.77,9.73,22
Cuevas de Candelaria,Estación Central de Microbús / Fletero cerca de Cuevas de Candelaria - Ref 916,FLETERO,7.15,24.26,32
Biotopo del Quetzal Mario Dary Rivera,Estación Central de Shuttle turístico cerca de Biotopo del Quetzal Mario Dary Rivera - Ref 917,SHUTTLE,6.07,43.8,22
Cobán,Estación Central de Taxi local cerca de Cobán - Ref 918,TAXI,6.05,23.08,21
Esquipulas,Estación Central de Tuc-tuc cerca de Esquipulas - Ref 919,TUC_TUC,13.57,24.27,40
Basílica del Cristo Negro de Esquipulas,Estación Central de Autobús extraurbano cerca de Basílica del Cristo Negro de Esquipulas - Ref 920,EXTRAURBANO,10.39,40.27,36
Volcán de Pacaya,Estación Central de Lancha colectiva cerca de Volcán de Pacaya - Ref 921,LANCHA,6.28,23.61,19
Monterrico,Estación Central de Microbús / Fletero cerca de Monterrico - Ref 922,FLETERO,7.83,40.48,31
Parque Nacional Sipacate-Naranjo,Estación Central de Shuttle turístico cerca de Parque Nacional Sipacate-Naranjo - Ref 923,SHUTTLE,14.51,31.76,43
Parque Arqueológico Nacional Tak’alik Ab’aj,Estación Central de Taxi local cerca de Parque Arqueológico Nacional Tak’alik Ab’aj - Ref 924,TAXI,12.96,27.05,34
Parques Xetulul y Xocomil,Estación Central de Tuc-tuc cerca de Parques Xetulul y Xocomil - Ref 925,TUC_TUC,14.0,44.24,53
Puerto San José,Estación Central de Autobús extraurbano cerca de Puerto San José - Ref 926,EXTRAURBANO,8.24,20.84,24
Playa Tilapa,Estación Central de Lancha colectiva cerca de Playa Tilapa - Ref 927,LANCHA,13.63,12.53,43
Fuentes Georginas,Estación Central de Microbús / Fletero cerca de Fuentes Georginas - Ref 928,FLETERO,12.09,26.16,42
Centro Histórico de Quetzaltenango,Estación Central de Shuttle turístico cerca de Centro Histórico de Quetzaltenango - Ref 929,SHUTTLE,6.22,49.55,25
Volcán Tajumulco,Estación Central de Taxi local cerca de Volcán Tajumulco - Ref 930,TAXI,10.3,8.7,32
Laguna Brava,Estación Central de Tuc-tuc cerca de Laguna Brava - Ref 931,TUC_TUC,4.72,18.46,16
Cenotes de Candelaria,Estación Central de Autobús extraurbano cerca de Cenotes de Candelaria - Ref 932,EXTRAURBANO,10.93,41.53,40
Todos Santos Cuchumatán,Estación Central de Lancha colectiva cerca de Todos Santos Cuchumatán - Ref 933,LANCHA,9.19,12.76,39
Nebaj,Estación Central de Microbús / Fletero cerca de Nebaj - Ref 934,FLETERO,7.61,26.11,36
Museo Nacional de Arqueología y Etnología,Estación Central de Shuttle turístico cerca de Museo Nacional de Arqueología y Etnología - Ref 935,SHUTTLE,5.5,20.7,19
Kaminaljuyú,Estación Central de Taxi local cerca de Kaminaljuyú - Ref 936,TAXI,8.37,24.01,40
Zoológico La Aurora,Estación Central de Tuc-tuc cerca de Zoológico La Aurora - Ref 937,TUC_TUC,5.68,29.7,17
Centro Histórico de la Ciudad de Guatemala,Estación Central de Autobús extraurbano cerca de Centro Histórico de la Ciudad de Guatemala - Ref 938,EXTRAURBANO,13.95,17.78,58
Mixco Viejo,Estación Central de Lancha colectiva cerca de Mixco Viejo - Ref 939,LANCHA,3.7,45.38,18
Volcán Acatenango,Estación Central de Microbús / Fletero cerca de Volcán Acatenango - Ref 940,FLETERO,2.84,38.09,8
Volcán de Agua,Estación Central de Shuttle turístico cerca de Volcán de Agua - Ref 941,SHUTTLE,13.29,23.61,42
Hobbitenango,Estación Central de Taxi local cerca de Hobbitenango - Ref 942,TAXI,2.11,32.45,9
Museo Miraflores,Estación Central de Tuc-tuc cerca de Museo Miraflores - Ref 943,TUC_TUC,10.95,43.26,30
Reserva de Biosfera Sierra de las Minas,Estación Central de Autobús extraurbano cerca de Reserva de Biosfera Sierra de las Minas - Ref 944,EXTRAURBANO,1.88,35.49,5
Museo de Paleontología y Arqueología de Estanzuela,Estación Central de Lancha colectiva cerca de Museo de Paleontología y Arqueología de Estanzuela - Ref 945,LANCHA,1.36,38.73,4
Volcán y Laguna de Ipala,Estación Central de Microbús / Fletero cerca de Volcán y Laguna de Ipala - Ref 946,FLETERO,3.27,21.03,10
Lago de Güija,Estación Central de Shuttle turístico cerca de Lago de Güija - Ref 947,SHUTTLE,5.38,16.69,17
Volcán Suchitán,Estación Central de Taxi local cerca de Volcán Suchitán - Ref 948,TAXI,10.27,23.08,28
Playa Blanca,Estación Central de Tuc-tuc cerca de Playa Blanca - Ref 949,TUC_TUC,4.21,5.86,12
Laguna Lachuá,Estación Central de Autobús extraurbano cerca de Laguna Lachuá - Ref 950,EXTRAURBANO,4.5,32.69,18
Antigua Guatemala,Estación Central de Lancha colectiva cerca de Antigua Guatemala - Ref 951,LANCHA,8.52,15.64,25
Parque Nacional Tikal,Estación Central de Microbús / Fletero cerca de Parque Nacional Tikal - Ref 952,FLETERO,12.97,46.22,57
Parque Nacional Yaxhá-Nakum-Naranjo,Estación Central de Shuttle turístico cerca de Parque Nacional Yaxhá-Nakum-Naranjo - Ref 953,SHUTTLE,5.5,31.89,16
Sitio arqueológico El Mirador,Estación Central de Taxi local cerca de Sitio arqueológico El Mirador - Ref 954,TAXI,14.23,48.73,64
Uaxactún,Estación Central de Tuc-tuc cerca de Uaxactún - Ref 955,TUC_TUC,8.59,49.02,23
Lago de Atitlán,Estación Central de Autobús extraurbano cerca de Lago de Atitlán - Ref 956,EXTRAURBANO,1.25,43.04,4
Panajachel,Estación Central de Lancha colectiva cerca de Panajachel - Ref 957,LANCHA,5.55,48.11,19
San Juan La Laguna,Estación Central de Microbús / Fletero cerca de San Juan La Laguna - Ref 958,FLETERO,8.22,25.35,27
Chichicastenango,Estación Central de Shuttle turístico cerca de Chichicastenango - Ref 959,SHUTTLE,2.77,6.11,12
Iximché,Estación Central de Taxi local cerca de Iximché - Ref 960,TAXI,12.73,35.86,45
Parque Arqueológico Quiriguá,Estación Central de Tuc-tuc cerca de Parque Arqueológico Quiriguá - Ref 961,TUC_TUC,12.77,30.21,55
Río Dulce,Estación Central de Autobús extraurbano cerca de Río Dulce - Ref 962,EXTRAURBANO,11.71,23.21,40
Castillo de San Felipe de Lara,Estación Central de Lancha colectiva cerca de Castillo de San Felipe de Lara - Ref 963,LANCHA,7.0,38.99,29
Livingston,Estación Central de Microbús / Fletero cerca de Livingston - Ref 964,FLETERO,10.23,16.44,50
Semuc Champey,Estación Central de Shuttle turístico cerca de Semuc Champey - Ref 965,SHUTTLE,2.94,37.82,8
Cuevas de Candelaria,Estación Central de Taxi local cerca de Cuevas de Candelaria - Ref 966,TAXI,2.05,10.72,8
Biotopo del Quetzal Mario Dary Rivera,Estación Central de Tuc-tuc cerca de Biotopo del Quetzal Mario Dary Rivera - Ref 967,TUC_TUC,9.46,46.89,39
Cobán,Estación Central de Autobús extraurbano cerca de Cobán - Ref 968,EXTRAURBANO,13.68,11.59,66
Esquipulas,Estación Central de Lancha colectiva cerca de Esquipulas - Ref 969,LANCHA,2.6,35.36,9
Basílica del Cristo Negro de Esquipulas,Estación Central de Microbús / Fletero cerca de Basílica del Cristo Negro de Esquipulas - Ref 970,FLETERO,6.32,43.28,29
Volcán de Pacaya,Estación Central de Shuttle turístico cerca de Volcán de Pacaya - Ref 971,SHUTTLE,7.49,23.04,24
Monterrico,Estación Central de Taxi local cerca de Monterrico - Ref 972,TAXI,6.86,24.53,25
Parque Nacional Sipacate-Naranjo,Estación Central de Tuc-tuc cerca de Parque Nacional Sipacate-Naranjo - Ref 973,TUC_TUC,4.83,19.01,23
Parque Arqueológico Nacional Tak’alik Ab’aj,Estación Central de Autobús extraurbano cerca de Parque Arqueológico Nacional Tak’alik Ab’aj - Ref 974,EXTRAURBANO,2.13,9.72,8
Parques Xetulul y Xocomil,Estación Central de Lancha colectiva cerca de Parques Xetulul y Xocomil - Ref 975,LANCHA,6.33,21.58,18
Puerto San José,Estación Central de Microbús / Fletero cerca de Puerto San José - Ref 976,FLETERO,7.48,42.86,18
Playa Tilapa,Estación Central de Shuttle turístico cerca de Playa Tilapa - Ref 977,SHUTTLE,13.76,30.82,43
Fuentes Georginas,Estación Central de Taxi local cerca de Fuentes Georginas - Ref 978,TAXI,13.72,27.07,62
Centro Histórico de Quetzaltenango,Estación Central de Tuc-tuc cerca de Centro Histórico de Quetzaltenango - Ref 979,TUC_TUC,8.09,39.3,23
Volcán Tajumulco,Estación Central de Autobús extraurbano cerca de Volcán Tajumulco - Ref 980,EXTRAURBANO,11.46,20.72,55
Laguna Brava,Estación Central de Lancha colectiva cerca de Laguna Brava - Ref 981,LANCHA,12.83,21.67,44
Cenotes de Candelaria,Estación Central de Microbús / Fletero cerca de Cenotes de Candelaria - Ref 982,FLETERO,3.32,42.57,9
Todos Santos Cuchumatán,Estación Central de Shuttle turístico cerca de Todos Santos Cuchumatán - Ref 983,SHUTTLE,12.32,11.78,42
Nebaj,Estación Central de Taxi local cerca de Nebaj - Ref 984,TAXI,9.8,31.3,30
Museo Nacional de Arqueología y Etnología,Estación Central de Tuc-tuc cerca de Museo Nacional de Arqueología y Etnología - Ref 985,TUC_TUC,13.46,48.95,53
Kaminaljuyú,Estación Central de Autobús extraurbano cerca de Kaminaljuyú - Ref 986,EXTRAURBANO,3.41,30.03,10
Zoológico La Aurora,Estación Central de Lancha colectiva cerca de Zoológico La Aurora - Ref 987,LANCHA,8.0,12.2,38
Centro Histórico de la Ciudad de Guatemala,Estación Central de Microbús / Fletero cerca de Centro Histórico de la Ciudad de Guatemala - Ref 988,FLETERO,8.37,34.17,23
Mixco Viejo,Estación Central de Shuttle turístico cerca de Mixco Viejo - Ref 989,SHUTTLE,8.62,20.72,31
Volcán Acatenango,Estación Central de Taxi local cerca de Volcán Acatenango - Ref 990,TAXI,11.04,18.54,30
Volcán de Agua,Estación Central de Tuc-tuc cerca de Volcán de Agua - Ref 991,TUC_TUC,1.94,32.9,6
Hobbitenango,Estación Central de Autobús extraurbano cerca de Hobbitenango - Ref 992,EXTRAURBANO,14.34,6.53,44
Museo Miraflores,Estación Central de Lancha colectiva cerca de Museo Miraflores - Ref 993,LANCHA,2.99,24.25,12
Reserva de Biosfera Sierra de las Minas,Estación Central de Microbús / Fletero cerca de Reserva de Biosfera Sierra de las Minas - Ref 994,FLETERO,1.42,14.86,6
Museo de Paleontología y Arqueología de Estanzuela,Estación Central de Shuttle turístico cerca de Museo de Paleontología y Arqueología de Estanzuela - Ref 995,SHUTTLE,7.92,16.32,23
Volcán y Laguna de Ipala,Estación Central de Taxi local cerca de Volcán y Laguna de Ipala - Ref 996,TAXI,11.72,38.71,33
Lago de Güija,Estación Central de Tuc-tuc cerca de Lago de Güija - Ref 997,TUC_TUC,3.12,24.33,11
Volcán Suchitán,Estación Central de Autobús extraurbano cerca de Volcán Suchitán - Ref 998,EXTRAURBANO,10.61,32.31,43
Playa Blanca,Estación Central de Lancha colectiva cerca de Playa Blanca - Ref 999,LANCHA,8.51,32.6,25
Laguna Lachuá,Estación Central de Microbús / Fletero cerca de Laguna Lachuá - Ref 1000,FLETERO,9.25,25.32,43
Antigua Guatemala,Estación Central de Shuttle turístico cerca de Antigua Guatemala - Ref 1001,SHUTTLE,14.37,43.73,52
Parque Nacional Tikal,Estación Central de Taxi local cerca de Parque Nacional Tikal - Ref 1002,TAXI,3.89,33.83,19
Parque Nacional Yaxhá-Nakum-Naranjo,Estación Central de Tuc-tuc cerca de Parque Nacional Yaxhá-Nakum-Naranjo - Ref 1003,TUC_TUC,2.22,21.36,6
Sitio arqueológico El Mirador,Estación Central de Autobús extraurbano cerca de Sitio arqueológico El Mirador - Ref 1004,EXTRAURBANO,8.12,34.99,32
Uaxactún,Estación Central de Lancha colectiva cerca de Uaxactún - Ref 1005,LANCHA,13.59,20.06,58
Lago de Atitlán,Estación Central de Microbús / Fletero cerca de Lago de Atitlán - Ref 1006,FLETERO,1.18,21.64,5
Panajachel,Estación Central de Shuttle turístico cerca de Panajachel - Ref 1007,SHUTTLE,13.16,19.98,50
San Juan La Laguna,Estación Central de Taxi local cerca de San Juan La Laguna - Ref 1008,TAXI,6.28,12.54,30
Chichicastenango,Estación Central de Tuc-tuc cerca de Chichicastenango - Ref 1009,TUC_TUC,0.6,44.02,2
Iximché,Estación Central de Autobús extraurbano cerca de Iximché - Ref 1010,EXTRAURBANO,13.77,47.63,49
Parque Arqueológico Quiriguá,Estación Central de Lancha colectiva cerca de Parque Arqueológico Quiriguá - Ref 1011,LANCHA,5.3,48.29,20
Río Dulce,Estación Central de Microbús / Fletero cerca de Río Dulce - Ref 1012,FLETERO,5.57,17.02,19
Castillo de San Felipe de Lara,Estación Central de Shuttle turístico cerca de Castillo de San Felipe de Lara - Ref 1013,SHUTTLE,8.7,40.88,25
Livingston,Estación Central de Taxi local cerca de Livingston - Ref 1014,TAXI,14.25,22.63,37
Semuc Champey,Estación Central de Tuc-tuc cerca de Semuc Champey - Ref 1015,TUC_TUC,13.65,28.07,52
Cuevas de Candelaria,Estación Central de Autobús extraurbano cerca de Cuevas de Candelaria - Ref 1016,EXTRAURBANO,8.74,23.36,34
Biotopo del Quetzal Mario Dary Rivera,Estación Central de Lancha colectiva cerca de Biotopo del Quetzal Mario Dary Rivera - Ref 1017,LANCHA,13.57,6.38,41
Cobán,Estación Central de Microbús / Fletero cerca de Cobán - Ref 1018,FLETERO,6.12,37.14,29
Esquipulas,Estación Central de Shuttle turístico cerca de Esquipulas - Ref 1019,SHUTTLE,10.7,25.16,33
Basílica del Cristo Negro de Esquipulas,Estación Central de Taxi local cerca de Basílica del Cristo Negro de Esquipulas - Ref 1020,TAXI,2.42,37.91,10
