nombre,ente_certificador,descripcion
Certificación Orgánica y de Origen - Reg COOP-GT0405-B,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Santa Apolonia R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0405-C,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Santa Apolonia.
Certificación Orgánica y de Origen - Reg COOP-GT0406-A,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Tecpán Guatemala R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0406-B,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Tecpán Guatemala R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0406-C,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Tecpán Guatemala.
Certificación Orgánica y de Origen - Reg COOP-GT0407-A,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Patzún R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0407-B,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Patzún R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0407-C,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Patzún.
Certificación Orgánica y de Origen - Reg COOP-GT0408-A,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Pochuta R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0408-B,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Pochuta R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0408-C,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Pochuta.
Certificación Orgánica y de Origen - Reg COOP-GT0409-A,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Patzicía R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0409-B,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Patzicía R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0409-C,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Patzicía.
Certificación Orgánica y de Origen - Reg COOP-GT0410-A,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Santa Cruz Balanyá R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0410-B,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Santa Cruz Balanyá R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0410-C,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Santa Cruz Balanyá.
Certificación Orgánica y de Origen - Reg COOP-GT0411-A,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Acatenango R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0411-B,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Acatenango R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0411-C,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Acatenango.
Certificación Orgánica y de Origen - Reg COOP-GT0412-A,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Yepocapa R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0412-B,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Yepocapa R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0412-C,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Yepocapa.
Certificación Orgánica y de Origen - Reg COOP-GT0413-A,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de San Andrés Itzapa R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0413-B,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de San Andrés Itzapa R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0413-C,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de San Andrés Itzapa.
Certificación Orgánica y de Origen - Reg COOP-GT0414-A,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Parramos R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0414-B,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Parramos R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0414-C,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Parramos.
Certificación Orgánica y de Origen - Reg COOP-GT0415-A,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Zaragoza R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0415-B,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Zaragoza R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0415-C,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Zaragoza.
Certificación Orgánica y de Origen - Reg COOP-GT0416-A,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de El Tejar R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0416-B,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de El Tejar R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0416-C,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de El Tejar.
Certificación Orgánica y de Origen - Reg COOP-GT0501-A,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Escuintla R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0501-B,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Escuintla R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0501-C,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Escuintla.
Certificación Orgánica y de Origen - Reg COOP-GT0502-A,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Santa Lucía Cotzumalguapa R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0502-B,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Santa Lucía Cotzumalguapa R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0502-C,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Santa Lucía Cotzumalguapa.
Certificación Orgánica y de Origen - Reg COOP-GT0503-A,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de La Democracia R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0503-B,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de La Democracia R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0503-C,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de La Democracia.
Certificación Orgánica y de Origen - Reg COOP-GT0504-A,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Siquinalá R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0504-B,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Siquinalá R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0504-C,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Siquinalá.
Certificación Orgánica y de Origen - Reg COOP-GT0505-A,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Masagua R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0505-B,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Masagua R.L..
